district_,mandal,gp,female,male,transgender
NALGONDA,GUNDLA PALLE,KAME PALLI,412,281,1.0
NALGONDA,GUNDLA PALLE,KANDUKUR,794,495,3.0
NALGONDA,GUNDLA PALLE,KHANAPUR,360,214,1.0
NALGONDA,GUNDLA PALLE,RAHMATPUR,409,265,2.0
NALGONDA,GUNDLA PALLE,SINGARAJ PALLI,343,240,2.0
NALGONDA,GUNDLA PALLE,TIPPALANENI GOWRARAM,458,297,1.0
NALGONDA,GUNDLA PALLE,TOWKLAPUR,1195,852,3.0
NALGONDA,GUNDLA PALLE,VAVILKOLE,1003,662,
NALGONDA,GUNDLA PALLE,VEERABOINA PALLI,721,543,3.0
NALGONDA,GUNDLA PALLE,YERRARAM,552,325,1.0
NALGONDA,GURRAMPODE,AMULUR,224,142,
NALGONDA,GURRAMPODE,BOLLARAM (P) KOPPOLE,217,126,
NALGONDA,GURRAMPODE,CHAMLED,473,295,1.0
NALGONDA,GURRAMPODE,CHEPUR,869,542,3.0
NALGONDA,GURRAMPODE,CHINTHAGUDAM,305,225,2.0
NALGONDA,GURRAMPODE,GURRAM PODE,612,366,2.0
NALGONDA,GURRAMPODE,JUNUTHLA,699,506,3.0
NALGONDA,GURRAMPODE,KALWAPALLI,252,171,1.0
NALGONDA,GURRAMPODE,KOPPOLE,1332,817,3.0
NALGONDA,GURRAMPODE,MAKKA PALLI,329,190,
NALGONDA,GURRAMPODE,MOSANGI,525,313,3.0
NALGONDA,GURRAMPODE,NADIKUDA,445,294,
NALGONDA,GURRAMPODE,OOTLAPALLI,223,142,
NALGONDA,GURRAMPODE,PALLE PAHAD,264,196,
NALGONDA,GURRAMPODE,PALWAI,850,550,4.0
NALGONDA,GURRAMPODE,PITTALAGUDEM,344,162,1.0
NALGONDA,GURRAMPODE,POCHAMPALLI,460,293,2.0
NALGONDA,GURRAMPODE,SULTHANPUR,246,176,1.0
NALGONDA,GURRAMPODE,TENEPALLI,683,470,5.0
NALGONDA,GURRAMPODE,THANEDAR PALLI,724,450,2.0
NALGONDA,GURRAMPODE,VATTIKODE,542,365,3.0
NALGONDA,HUZURNAGAR,AMARA VARAM,809,528,3.0
NALGONDA,HUZURNAGAR,ANJALIPURAM,138,85,1.0
NALGONDA,HUZURNAGAR,BURUGADDA,905,547,2.0
NALGONDA,HUZURNAGAR,GOPALAPURAM,451,231,1.0
NALGONDA,HUZURNAGAR,HUZUR NAGAR,303,160,1.0
NALGONDA,HUZURNAGAR,KARAKKAYALAGUDEM,319,145,
NALGONDA,HUZURNAGAR,LAKKA VARAM,555,343,4.0
NALGONDA,HUZURNAGAR,LINGAGIRI,684,416,1.0
NALGONDA,HUZURNAGAR,SRINIVASAPURAM,407,242,1.0
NALGONDA,HUZURNAGAR,YAPALA SINGARAM,1024,615,3.0
NALGONDA,JAJIREDDI GUDEM,ADIVEMULA,429,296,
NALGONDA,JAJIREDDI GUDEM,DEVARANENI KOTHA PALLE,488,275,1.0
NALGONDA,JAJIREDDI GUDEM,JAJI REDDI GUDEM,2154,1294,1.0
NALGONDA,JAJIREDDI GUDEM,KASARLA PAHAD,622,397,2.0
NALGONDA,JAJIREDDI GUDEM,KODUR,415,258,1.0
NALGONDA,JAJIREDDI GUDEM,KOMMALA,1029,648,2.0
NALGONDA,JAJIREDDI GUDEM,KUNCHAMARTHI,492,306,1.0
NALGONDA,JAJIREDDI GUDEM,LOYALPALLI,344,212,
NALGONDA,JAJIREDDI GUDEM,MACHIREDDIPALLY,279,178,
NALGONDA,JAJIREDDI GUDEM,NAGARAM,687,424,2.0
NALGONDA,JAJIREDDI GUDEM,PARSAI PALLLE,644,341,2.0
NALGONDA,JAJIREDDI GUDEM,THIMMAPURAM,700,452,3.0
NALGONDA,JAJIREDDI GUDEM,WARDHAMANU KOTA,1558,1005,1.0
NALGONDA,KANGAL,BACHANNAGUDA,280,168,
NALGONDA,KANGAL,BOINAPALLE,500,340,2.0
NALGONDA,KANGAL,CHENNARAM,241,167,1.0
NALGONDA,KANGAL,CHERLA GOURARAM,607,335,1.0
NALGONDA,KANGAL,CHETLA CHENNARAM,374,207,1.0
NALGONDA,KANGAL,CHINNA MADHARAM,431,281,2.0
NALGONDA,KANGAL,DERVESHPUR,322,191,1.0
NALGONDA,KANGAL,DOREPALLE,419,276,3.0
NALGONDA,KANGAL,GADDAMVARI YADAVALLY,1023,600,3.0
NALGONDA,KANGAL,KANAGAL,749,386,3.0
NALGONDA,KANGAL,KURAMPALLY,444,278,1.0
NALGONDA,KANGAL,LACHUGUDEM,315,230,
NALGONDA,KANGAL,PAGIDI MARRI,488,289,
NALGONDA,KANGAL,PARVATHAGIRI,398,266,1.0
NALGONDA,KANGAL,PONUGODE,639,353,2.0
NALGONDA,KANGAL,RAMACHANDRAPURAM,268,157,2.0
NALGONDA,KANGAL,REGATTE,590,403,6.0
NALGONDA,KANGAL,SERILINGOTAM,391,249,1.0
NALGONDA,KANGAL,SHAHABDULLA PUR,158,106,
NALGONDA,KANGAL,TELAKANTIGUDA,405,257,1.0
NALGONDA,KANGAL,THORAGAL,372,229,2.0
NALGONDA,KANGAL,TURKA PALLE,522,364,1.0
NALGONDA,KATTANGOOR,AITI PAMULA,1539,952,2.0
NALGONDA,KATTANGOOR,BOLLEPALLE,709,428,
NALGONDA,KATTANGOOR,CHERUVANNARAM,614,364,1.0
NALGONDA,KATTANGOOR,DUGENEVALLY,565,330,
NALGONDA,KATTANGOOR,EDULUR,881,498,1.0
NALGONDA,KATTANGOOR,GARLABAIGUDEM,268,152,
NALGONDA,KATTANGOOR,KALMERA,365,217,
NALGONDA,KATTANGOOR,KATTANGOOR,1295,680,7.0
NALGONDA,KATTANGOOR,KURUMARTHY,538,357,4.0
NALGONDA,KATTANGOOR,MUNUKUNTLA,544,327,1.0
NALGONDA,KATTANGOOR,MUTYALAMMAGUDEM,471,248,1.0
NALGONDA,KATTANGOOR,NAREGUDEM,311,194,
NALGONDA,KATTANGOOR,PAMANAGUNDLA,314,178,
NALGONDA,KATTANGOOR,PANDENA PALLE,239,148,
NALGONDA,KATTANGOOR,PARADA,584,347,
NALGONDA,KATTANGOOR,PITTAM PALLE,554,316,1.0
NALGONDA,KATTANGOOR,YERSANIGUDA,313,178,
NALGONDA,KETHEPALLE,BHEEMAVARAM,826,509,2.0
NALGONDA,KETHEPALLE,BONDAPALEM,160,130,1.0
NALGONDA,KETHEPALLE,BOPPARAM,331,184,2.0
NALGONDA,KETHEPALLE,CHERUKU PALLY,716,441,3.0
NALGONDA,KETHEPALLE,GUDIWADA,867,627,1.0
NALGONDA,KETHEPALLE,INPAMULA,682,307,1.0
NALGONDA,KETHEPALLE,KASANGODE,477,256,
NALGONDA,KETHEPALLE,KETHE PALLE,1257,748,2.0
NALGONDA,KETHEPALLE,KONDAKINDIGUDEM,229,136,
NALGONDA,KETHEPALLE,KOPPOLE,675,453,
NALGONDA,KETHEPALLE,KORLAPAHAD,627,377,3.0
NALGONDA,KETHEPALLE,KOTHAPETA,516,336,3.0
NALGONDA,KETHEPALLE,THUNGATHURTHY,565,375,4.0
NALGONDA,KETHEPALLE,UPPALA PAHAD,279,177,
NALGONDA,KODAD,AMEENABAD,430,216,1.0
NALGONDA,KODAD,ANANTHA GIRI,591,378,3.0
NALGONDA,KODAD,BHEEKYA THANDA,360,248,
NALGONDA,KODAD,BOJJAGUDEM THANDA,363,194,
NALGONDA,KODAD,CHIMIRYALA,708,359,
NALGONDA,KODAD,DORAKUNTA,676,350,1.0
NALGONDA,KODAD,GANAPA VARAM,973,614,3.0
NALGONDA,KODAD,GOL THANDA,492,313,1.0
NALGONDA,KODAD,GONDRIYALA,590,376,2.0
NALGONDA,KODAD,GUDIBANDA,914,448,3.0
NALGONDA,KODAD,KAPUGAL,1110,663,4.0
NALGONDA,KODAD,KHANA PURAM,394,245,1.0
NALGONDA,KODAD,KISTAPURAM,192,113,
NALGONDA,KODAD,KODAD,16,9,
NALGONDA,KODAD,KOMARABANDA,851,530,5.0
NALGONDA,KODAD,KOTHAGUDEM,255,143,
NALGONDA,KODAD,KUCHIPUDI,598,371,
NALGONDA,KODAD,KUCHIPUDI THANDA,122,74,
NALGONDA,KODAD,LAKMA VARAM,265,142,
NALGONDA,KODAD,MOGALAIKOTA,389,236,
NALGONDA,KODAD,NALLABANDA GUDEM,586,380,1.0
NALGONDA,KODAD,RAMALAXMIPURAM,248,134,
NALGONDA,KODAD,REDLA KUNTA,480,303,2.0
NALGONDA,KODAD,SHANTINAGAR,441,244,
NALGONDA,KODAD,THAMMARABANDAPALEM,1049,624,3.0
NALGONDA,KODAD,THOGARRAI,791,496,1.0
NALGONDA,KODAD,VENKATRAMPURAM,389,270,
NALGONDA,KODAD,YERRARAM,290,160,
NALGONDA,M.TURKAPALLE,CHINA LAXMA PURAM,268,213,
NALGONDA,M.TURKAPALLE,DATHAI PALLE,345,211,1.0
NALGONDA,M.TURKAPALLE,DHARMARAM,266,200,
NALGONDA,M.TURKAPALLE,GANDAMALLA,847,614,
NALGONDA,M.TURKAPALLE,GOLLAGUDA,290,238,1.0
NALGONDA,M.TURKAPALLE,GOPAL PURAM,279,207,
NALGONDA,M.TURKAPALLE,IBRAHIMPUR,289,142,1.0
NALGONDA,M.TURKAPALLE,KONAPUR,203,156,1.0
NALGONDA,M.TURKAPALLE,KONDAPUR,297,187,1.0
NALGONDA,M.TURKAPALLE,M.TURKAPALLY,482,249,
NALGONDA,M.TURKAPALLE,MADHA PURAM,748,434,3.0
NALGONDA,M.TURKAPALLE,MALKA PURAM,453,372,1.0
NALGONDA,M.TURKAPALLE,MOTHIRAM THANDA,201,129,
NALGONDA,M.TURKAPALLE,MULAKALA PALLE,542,373,3.0
NALGONDA,M.TURKAPALLE,NAGAI PALLE,300,235,1.0
NALGONDA,M.TURKAPALLE,PALLE PAHAD,190,112,2.0
NALGONDA,M.TURKAPALLE,PEDDA THANDA,467,387,1.0
NALGONDA,M.TURKAPALLE,RUSTA PURAM,146,77,
NALGONDA,M.TURKAPALLE,TIRUMALAPUR,271,166,
NALGONDA,M.TURKAPALLE,VASALA MARRI,390,212,2.0
NALGONDA,M.TURKAPALLE,VEERAREDDI PALLE,496,321,1.0
NALGONDA,M.TURKAPALLE,VELPUPALLE,205,131,
NALGONDA,M.TURKAPALLE,VENKATAPUR,257,141,1.0
NALGONDA,MARRIGUDA,AJLAPOOR,291,195,1.0
NALGONDA,MARRIGUDA,ANTHAMPET,713,451,2.0
NALGONDA,MARRIGUDA,DAMERA BHEEMAN PALLE,905,563,1.0
NALGONDA,MARRIGUDA,KHUDABAKSH PALLEY,1114,681,3.0
NALGONDA,MARRIGUDA,KONDUR,340,201,
NALGONDA,MARRIGUDA,LENKALA PALLE,568,352,1.0
NALGONDA,MARRIGUDA,MARRIGUDA,703,391,1.0
NALGONDA,MARRIGUDA,METICHANDAPUR,275,166,
NALGONDA,MARRIGUDA,NAMAPUR,424,245,1.0
NALGONDA,MARRIGUDA,RAMREDDI PALLE,662,394,5.0
NALGONDA,MARRIGUDA,SARAMPET,329,199,1.0
NALGONDA,MARRIGUDA,SIVANNAGUDEM,1042,603,4.0
NALGONDA,MARRIGUDA,TAMMAD PALLE,235,131,3.0
NALGONDA,MARRIGUDA,TIRGANDLA PALLE,404,245,
NALGONDA,MARRIGUDA,VATTI PALLE,616,336,2.0
NALGONDA,MARRIGUDA,YERGANDLA PALLE,651,393,1.0
NALGONDA,MATTAM PALLE,ALLIPURAM,487,300,1.0
NALGONDA,MATTAM PALLE,BAKKAMANTHULA GUDEM,531,344,2.0
NALGONDA,MATTAM PALLE,BHEELYANAIK THANDA,988,679,4.0
NALGONDA,MATTAM PALLE,CHANNAYA PALEM,359,224,
NALGONDA,MATTAM PALLE,CHOUTAPALLI,714,421,4.0
NALGONDA,MATTAM PALLE,GUNDLA PALLI,243,166,1.0
NALGONDA,MATTAM PALLE,HANUMANTHULAGUDEM,256,175,2.0
NALGONDA,MATTAM PALLE,K.DONABANDA THANDA,517,317,1.0
NALGONDA,MATTAM PALLE,MANCHYAGANI THANDA,421,260,1.0
NALGONDA,MATTAM PALLE,MATTAM PALLI,1452,865,4.0
NALGONDA,MATTAM PALLE,MATTAPALLI,252,163,
NALGONDA,MATTAM PALLE,PEDDA VEEDU,1235,679,4.0
NALGONDA,MATTAM PALLE,RAGHUNADHA PALEM,1370,763,8.0
NALGONDA,MATTAM PALLE,RAMACHANDRAPURAM,786,464,2.0
NALGONDA,MATTAM PALLE,VARDHA PURAM,452,285,
NALGONDA,MATTAM PALLE,YATAVAKILLA,485,260,2.0
NALGONDA,MELLA CHERUVU,ADLUR,666,442,1.0
NALGONDA,MELLA CHERUVU,CHINTHALA PALEM,1472,943,3.0
NALGONDA,MELLA CHERUVU,CHINTRIYALA,456,287,
NALGONDA,MELLA CHERUVU,DONDA PADU,1728,1040,5.0
NALGONDA,MELLA CHERUVU,GUDI MALKA PURAM,492,320,5.0
NALGONDA,MELLA CHERUVU,HEMLATHANDA,1124,771,1.0
NALGONDA,MELLA CHERUVU,KANDIBANDA,1188,714,3.0
NALGONDA,MELLA CHERUVU,KISTAPURAM,443,283,
NALGONDA,MELLA CHERUVU,MELLA CHERVU,2400,1341,4.0
NALGONDA,MELLA CHERUVU,NAKKAGUDEM,518,333,
NALGONDA,MELLA CHERUVU,NEMALIPURI,444,320,
NALGONDA,MELLA CHERUVU,RAMAPURAM,1335,794,3.0
NALGONDA,MELLA CHERUVU,REBALLE,269,183,
NALGONDA,MELLA CHERUVU,REVURU,722,458,3.0
NALGONDA,MELLA CHERUVU,THAMMARAM,936,603,3.0
NALGONDA,MELLA CHERUVU,VAJINE PALLI,236,179,
NALGONDA,MELLA CHERUVU,VELLATUR,756,556,3.0
NALGONDA,MELLA CHERUVU,YAPALA MADHARAM,603,388,4.0
NALGONDA,MELLA CHERUVU,YATHIRAJAPURAM THANDA,460,305,3.0
NALGONDA,MIRYALAGUDA,ALAGADAPA,949,516,3.0
NALGONDA,MIRYALAGUDA,ANNARAM,405,202,
NALGONDA,MIRYALAGUDA,BADALA PURAM,564,271,1.0
NALGONDA,MIRYALAGUDA,CHILLAPURAM,269,139,
NALGONDA,MIRYALAGUDA,CHINTHA PALLI,735,380,1.0
NALGONDA,MIRYALAGUDA,DONDAVARI GUDEM,360,247,
NALGONDA,MIRYALAGUDA,GOGUVANIGUDEM,271,164,
NALGONDA,MIRYALAGUDA,GUDUR,796,430,3.0
NALGONDA,MIRYALAGUDA,ILAPURAM,466,267,4.0
NALGONDA,MIRYALAGUDA,KALVA PALLI,389,208,4.0
NALGONDA,MIRYALAGUDA,KOTHAGUDA,463,219,1.0
NALGONDA,MIRYALAGUDA,MULKAL KALVA,187,130,
NALGONDA,MIRYALAGUDA,NANDI PAHAD,583,299,4.0
NALGONDA,MIRYALAGUDA,RAYAN PALEM,621,413,2.0
NALGONDA,MIRYALAGUDA,RUDRARAM,624,364,2.0
NALGONDA,MIRYALAGUDA,TADKAMALLA,870,623,5.0
NALGONDA,MIRYALAGUDA,TAKKELLAPAHAD,772,512,2.0
NALGONDA,MIRYALAGUDA,THUNGA PAHAD,1467,879,3.0
NALGONDA,MIRYALAGUDA,VENKATADRI PALEM,1250,717,3.0
NALGONDA,MIRYALAGUDA,VOOTLA PALLI,617,374,1.0
NALGONDA,MIRYALAGUDA,YADGARPALLI,845,495,2.0
NALGONDA,MIRYALAGUDA,ZAPTIVEERAPPA GUDA,663,310,
NALGONDA,MOTHEY,ANNARIGUDEM,408,286,
NALGONDA,MOTHEY,BURKACHARLA,852,637,1.0
NALGONDA,MOTHEY,HUSSAINBAD,526,365,1.0
NALGONDA,MOTHEY,KUDALI,392,259,4.0
NALGONDA,MOTHEY,LAL THANDA,652,416,
NALGONDA,MOTHEY,MAMILLAGUDEM,496,273,
NALGONDA,MOTHEY,MOTHEY,605,381,5.0
NALGONDA,MOTHEY,NAMAVARAM,739,473,1.0
NALGONDA,MOTHEY,NEREDAVAI,474,323,
NALGONDA,MOTHEY,RAGHAVAPUR,527,366,1.0
NALGONDA,MOTHEY,RAMAPURAM THANDA,504,400,1.0
NALGONDA,MOTHEY,RAVI PAHAD,923,635,3.0
NALGONDA,MOTHEY,SARVARAM,401,302,1.0
NALGONDA,MOTHEY,SIRIKONDA,1044,725,1.0
NALGONDA,MOTHEY,THUMMALA PALLE,350,218,
NALGONDA,MOTHEY,TUMMAGUDEM,626,460,2.0
NALGONDA,MOTHEY,URLUGONDA,821,565,5.0
NALGONDA,MOTHEY,VIBHALAPUR,485,297,
NALGONDA,MOTHKUR,ADDA GUDUR,752,440,3.0
NALGONDA,MOTHKUR,ANAJIPUR,303,159,
NALGONDA,MOTHKUR,AZIMPET,473,338,3.0
NALGONDA,MOTHKUR,BIJILAPUR,332,185,
NALGONDA,MOTHKUR,BODDUGUDEM,310,174,
NALGONDA,MOTHKUR,CHINNAPADISHALA,285,199,
NALGONDA,MOTHKUR,CHIRRA GUDUR,304,181,
NALGONDA,MOTHKUR,CHOULLA RAMARAM,449,310,
NALGONDA,MOTHKUR,DACHARAM,543,314,
NALGONDA,MOTHKUR,DATTAPPAGUDA,568,369,1.0
NALGONDA,MOTHKUR,DHARMARAM,219,154,2.0
NALGONDA,MOTHKUR,GOVINDAPOOR,128,80,1.0
NALGONDA,MOTHKUR,JANAKIPUR,350,241,1.0
NALGONDA,MOTHKUR,KANCHAN PALLE,430,310,
NALGONDA,MOTHKUR,KONDA GADAPA,625,408,4.0
NALGONDA,MOTHKUR,KOTAMARTHI,670,413,2.0
NALGONDA,MOTHKUR,LAXMIDEVI KALWA,341,232,2.0
NALGONDA,MOTHKUR,MANAIKUNTA,226,161,
NALGONDA,MOTHKUR,MOTHKUR,2298,1380,8.0
NALGONDA,MOTHKUR,MUSITPATLA,245,169,
NALGONDA,MOTHKUR,PALADUGU,449,243,
NALGONDA,MOTHKUR,PANAKA BANDA,238,155,
NALGONDA,MOTHKUR,PATIMATLA,265,146,
NALGONDA,MOTHKUR,PODICHEDU,524,307,1.0
NALGONDA,MOTHKUR,REPAKA (P),548,331,4.0
NALGONDA,MOTHKUR,SADARSHAPUR,246,157,
NALGONDA,MOTHKUR,SINGARAM (P),403,254,
NALGONDA,MOTHKUR,VELDEVI,268,163,2.0
NALGONDA,MUNAGALA,AKUPAMULA,924,531,2.0
NALGONDA,MUNAGALA,BARAKATH GUDA,952,573,2.0
NALGONDA,MUNAGALA,GANAPAVARAM,338,204,2.0
NALGONDA,MUNAGALA,JAGANNADAPURAM,306,221,
NALGONDA,MUNAGALA,KALAKOVA,518,314,1.0
NALGONDA,MUNAGALA,KOKKIRENI,228,118,1.0
NALGONDA,MUNAGALA,MADHAVARAM,421,257,2.0
NALGONDA,MUNAGALA,MUKUNDAPURAM,503,330,6.0
NALGONDA,MUNAGALA,MUNAGALA,1117,592,4.0
NALGONDA,MUNAGALA,NARASIMHULAGUDAM,720,506,2.0
NALGONDA,MUNAGALA,NARAYANAGUDEM,423,207,
NALGONDA,MUNAGALA,NELA MARRI,602,409,1.0
NALGONDA,MUNAGALA,REPALA,651,417,7.0
NALGONDA,MUNAGALA,TADVAI,575,401,
NALGONDA,MUNAGALA,TIMMAREDDIGUDEM,293,166,
NALGONDA,MUNAGALA,VENKATRAMPURAM,202,122,
NALGONDA,MUNAGALA,VIJAYARAGHAVAPURAM,337,205,
NALGONDA,MUNUGODE,CHALMEDA,273,173,
NALGONDA,MUNUGODE,CHEEKATI MAMIDI,692,460,
NALGONDA,MUNUGODE,CHOLLEDU,535,352,2.0
NALGONDA,MUNUGODE,GUDAPUR,312,170,1.0
NALGONDA,MUNUGODE,IPPARTHY,332,223,1.0
NALGONDA,MUNUGODE,JAMASTHAN PALLE,155,91,
NALGONDA,MUNUGODE,KALAVALA PALLE,517,322,
NALGONDA,MUNUGODE,KALWAKUNTLA,229,121,
NALGONDA,MUNUGODE,KASLAPURAM,153,98,
NALGONDA,MUNUGODE,KISTAPURAM,406,257,3.0
NALGONDA,MUNUGODE,KOMPALLE,538,330,1.0
NALGONDA,MUNUGODE,KORATIKAL,933,622,2.0
NALGONDA,MUNUGODE,KOTHULARAM,216,102,2.0
NALGONDA,MUNUGODE,MUNUGODE,1978,1156,12.0
NALGONDA,MUNUGODE,PALIVELA,531,281,2.0
NALGONDA,MUNUGODE,PULIPALPULA,668,389,
NALGONDA,MUNUGODE,RATHI PALLE,182,111,1.0
NALGONDA,MUNUGODE,SINGARAM,270,146,
NALGONDA,MUNUGODE,SOLIPUR,121,91,2.0
NALGONDA,MUNUGODE,VELMAKANNE,545,342,2.0
NALGONDA,MUNUGODE,VOOKONDI,500,311,2.0
NALGONDA,NADIGUDEM,BRUNDAVAN PURAM,394,275,3.0
NALGONDA,NADIGUDEM,CHAKIRALA,174,115,1.0
NALGONDA,NADIGUDEM,CHAN PALLE,229,128,
NALGONDA,NADIGUDEM,CHENNA KESHAVAPURAM ,318,192,1.0
NALGONDA,NADIGUDEM,EKLASHKHAN PET,243,166,
NALGONDA,NADIGUDEM,KAGITARAMACHANDRA PURAM,510,315,
NALGONDA,NADIGUDEM,KARIVIRALA,338,196,3.0
NALGONDA,NADIGUDEM,NADIGUDEM,797,414,3.0
NALGONDA,NADIGUDEM,NARAYANPURAM,278,200,2.0
NALGONDA,NADIGUDEM,PALARAM,607,325,2.0
NALGONDA,NADIGUDEM,RAMA PURAM,472,300,1.0
NALGONDA,NADIGUDEM,RATNA VARAM,408,246,4.0
NALGONDA,NADIGUDEM,SIRIPURAM,726,471,1.0
NALGONDA,NADIGUDEM,SRIRANGAPURAM,261,171,2.0
NALGONDA,NADIGUDEM,TELLABALLI,330,202,1.0
NALGONDA,NADIGUDEM,TRIPURAVARAM,580,338,14.0
NALGONDA,NADIGUDEM,VALLAPURAM,681,428,5.0
NALGONDA,NADIGUDEM,VENUGOPALAPURAM,400,293,
NALGONDA,NADIGUDEM,VOILA SINGARAM,576,385,1.0
NALGONDA,NADIGUDEM,YASANTA PURAM,199,122,
NALGONDA,NAKREKAL,Chandampalle,367,213,
NALGONDA,NAKREKAL,CHANDUPATLA,738,425,
NALGONDA,NAKREKAL,GORENKAL PALLE,551,389,
NALGONDA,NAKREKAL,Kadaparthy,584,350,2.0
NALGONDA,NAKREKAL,MANDALAPUR,254,153,
NALGONDA,NAKREKAL,MANGALI PALLY,667,428,3.0
NALGONDA,NAKREKAL,MARRUR,447,267,
NALGONDA,NAKREKAL,NAKREKAL,3744,1736,6.0
NALGONDA,NAKREKAL,Nellibanda,190,113,
NALGONDA,NAKREKAL,NOMULA,1142,750,5.0
NALGONDA,NAKREKAL,Not Allotted,51,25,
NALGONDA,NAKREKAL,OGODE,605,327,
NALGONDA,NAKREKAL,PALEM,369,225,3.0
NALGONDA,NAKREKAL,Tatikal,713,381,2.0
NALGONDA,NAKREKAL,VALLABHAPUR,310,176,
NALGONDA,NALGONDA,ANANTHARAM,665,413,1.0
NALGONDA,NALGONDA,ANNAREDDY GUDA,129,85,1.0
NALGONDA,NALGONDA,ANNEPARTHY,365,185,1.0
NALGONDA,NALGONDA,APPAJI PETA,782,433,2.0
NALGONDA,NALGONDA,ARJALABAVI,16,13,
NALGONDA,NALGONDA,BUDDHARAM,300,168,5.0
NALGONDA,NALGONDA,CHANDAN PALLE,545,274,
NALGONDA,NALGONDA,DANDAMPALLY,472,266,
NALGONDA,NALGONDA,DONAKAL,345,223,
NALGONDA,NALGONDA,G.K.ANNARAM,188,111,1.0
NALGONDA,NALGONDA,GUNDLA PALLE,230,128,
NALGONDA,NALGONDA,K.KONDARAM,349,217,
NALGONDA,NALGONDA,KANCHAN PALLE ,542,298,
NALGONDA,NALGONDA,M.DOMALAPALLE,721,407,3.0
NALGONDA,NALGONDA,MARRIGUDA,21,10,
NALGONDA,NALGONDA,MELLA DUPPALA PALLE,315,157,
NALGONDA,NALGONDA,MUSHAM PALLE,469,265,
NALGONDA,NALGONDA,NARSING BATLA,943,625,6.0
NALGONDA,NALGONDA,VELUGU PALLE,404,249,
NALGONDA,NAMPALLE,BANDA THIMMAPUR,448,311,
NALGONDA,NAMPALLE,CHAMALA PALLI,598,399,1.0
NALGONDA,NAMPALLE,CHITTAM PAHAD,530,315,2.0
NALGONDA,NAMPALLE,DAMERA,534,394,2.0
NALGONDA,NAMPALLE,DEVATH PALLI,519,363,3.0
NALGONDA,NAMPALLE,GHATLA MALLA PALLI,378,244,2.0
NALGONDA,NAMPALLE,MALLAPRAJ PALLI,352,220,
NALGONDA,NAMPALLE,MEDLAVAI,681,440,3.0
NALGONDA,NAMPALLE,MOHAMADAPUR,409,251,2.0
NALGONDA,NAMPALLE,MUSTI PALLI,784,558,2.0
NALGONDA,NAMPALLE,NAMPALLY,718,408,4.0
NALGONDA,NAMPALLE,NARSIMLUGUDA,203,146,
NALGONDA,NAMPALLE,NERALLA PALLI,458,306,1.0
NALGONDA,NAMPALLE,PASNOOR,1109,818,4.0
NALGONDA,NAMPALLE,PEDDAPUR,615,392,
NALGONDA,NAMPALLE,RAMDAS THANDA,383,275,1.0
NALGONDA,NAMPALLE,REBELLI,252,165,
NALGONDA,NAMPALLE,SWAMULAVARI LINGOTAM,575,364,
NALGONDA,NAMPALLE,THUMMALAPALLY,419,287,
NALGONDA,NAMPALLE,TUNGAPATI GOURARAM,508,346,4.0
NALGONDA,NAMPALLE,VADDE PALLI,377,259,2.0
NALGONDA,NARAYANAPUR,CHILLAPURAM,854,527,1.0
NALGONDA,NARAYANAPUR,CHIMIRIYALA,272,186,
NALGONDA,NARAYANAPUR,GUDDIMALKAPURAM,480,282,3.0
NALGONDA,NARAYANAPUR,GUJJA,556,305,4.0
NALGONDA,NARAYANAPUR,JANAGAM ,1465,1019,2.0
NALGONDA,NARAYANAPUR,KANKANAL GUDEM,254,142,1.0
NALGONDA,NARAYANAPUR,KOTHAGUDEM,285,173,
NALGONDA,NARAYANAPUR,MAHAMMADABAD,246,135,1.0
